iter	RMSE
0	0.6981452611
1	0.6852619001
2	0.6742021552
3	0.6621079616
4	0.6518415504
5	0.6402930513
6	0.6286824759
7	0.6181575639
8	0.6090269092
9	0.5986297283
10	0.5893058253
11	0.5805448133
12	0.5724516725
13	0.5641827982
14	0.5564371682
15	0.5468954567
16	0.5372844369
17	0.5277250304
18	0.519825975
19	0.5119933355
20	0.5048263592
21	0.4975094575
22	0.4911350289
23	0.483133288
24	0.475589158
25	0.468833553
26	0.4624128199
27	0.4562848803
28	0.4497527502
29	0.4434732825
30	0.4373091533
31	0.4306865926
32	0.4249380706
33	0.4192214508
34	0.4133991124
35	0.4073969622
36	0.402093701
37	0.3972555178
38	0.3922225287
39	0.3875220154
40	0.3833846308
41	0.3799572673
42	0.3755643871
43	0.3702001862
44	0.3661011702
45	0.361525212
46	0.3577772798
47	0.3533380559
48	0.349609804
49	0.3461570957
50	0.3419693002
51	0.3385287416
52	0.3345467554
53	0.3305392146
54	0.3261250122
55	0.3224639929
56	0.3182526483
57	0.3154419069
58	0.311678945
59	0.3080375523
60	0.30412101
61	0.3010418167
62	0.298021068
63	0.2949745279
64	0.2921710218
65	0.2895488549
66	0.2862187909
67	0.2837135124
68	0.2809491323
69	0.2789296233
70	0.2764708983
71	0.2739130768
72	0.2706442946
73	0.2677419612
74	0.2657869187
75	0.2628326194
76	0.2604828481
77	0.2580525377
78	0.2555850517
79	0.2535586384
80	0.2511080111
81	0.2493454001
82	0.2471315091
83	0.2451501486
84	0.242350956
85	0.2403165866
86	0.2372902552
87	0.2350748191
88	0.2329610685
89	0.2310576468
90	0.2288906432
91	0.2271876961
92	0.2257035359
93	0.2237585407
94	0.2215705001
95	0.2198685648
96	0.2174632519
97	0.2153394078
98	0.2136623964
99	0.2124976735
100	0.2110459851
101	0.2093513653
102	0.2074703487
103	0.2061789503
104	0.2045696501
105	0.2030345624
106	0.2012513373
107	0.1995893095
108	0.1981357081
109	0.1968131015
110	0.1949372109
111	0.193132103
112	0.1916883356
113	0.1901642382
114	0.1887024791
115	0.1872984355
116	0.1854431481
117	0.1836028618
118	0.1820438721
119	0.1805094831
120	0.1793580292
121	0.1781077614
122	0.1770301975
123	0.1757608121
124	0.1746157606
125	0.1734495962
126	0.1725151079
127	0.1710888476
128	0.1696685203
129	0.1683514602
130	0.1672657018
131	0.1661912036
132	0.1649980822
133	0.1639661326
134	0.1630906376
135	0.1620351592
136	0.1604178254
137	0.1587583347
138	0.1577994383
139	0.1560579016
140	0.1547769125
141	0.1538282083
142	0.1528337622
143	0.1515047595
144	0.1502565391
145	0.1495474339
146	0.1484442437
147	0.1474730358
148	0.1460168624
149	0.1450590936
150	0.1441410424
151	0.143045607
152	0.1422737072
153	0.1405072237
154	0.1398403442
155	0.1392086045
156	0.1383044527
157	0.1376271277
158	0.1366773564
159	0.135628612
160	0.1351015055
161	0.1343025295
162	0.1330228136
163	0.1318132751
164	0.1312068762
165	0.1304242384
166	0.1293571551
167	0.1285600415
168	0.1279168698
169	0.1271736144
170	0.1262592527
171	0.12527864
172	0.1242799491
173	0.1233457803
174	0.1224461739
175	0.1215165884
176	0.1205926754
177	0.1198156561
178	0.1189290887
179	0.1183657337
180	0.1175801918
181	0.1168947887
182	0.1161631741
183	0.1154245209
184	0.1145340669
185	0.1138439014
186	0.1125442307
187	0.1117222882
188	0.1108114492
189	0.1100815204
190	0.109048532
191	0.108554854
192	0.1075829212
193	0.1068520796
194	0.1062647296
195	0.1056298221
196	0.1049080249
197	0.1043677381
198	0.1037496796
199	0.1033742518
200	0.1026649614
201	0.1019818213
202	0.1016728234
203	0.1007398654
204	0.1000048141
205	0.0994419342
206	0.09843354418
207	0.097801438
