iter	Passed	Remaining
0	0	391
1	0	357
2	1	347
3	1	335
4	1	327
5	1	319
6	2	313
7	2	298
8	2	295
9	2	295
10	3	292
11	3	290
12	3	288
13	4	287
14	4	286
15	4	273
16	4	273
17	4	265
18	5	265
19	5	266
20	5	266
21	6	266
22	6	266
23	6	266
24	6	266
25	6	261
26	7	261
27	7	261
28	7	258
29	7	258
30	8	258
31	8	258
32	8	258
33	9	258
34	9	258
35	9	258
36	9	258
37	10	258
38	10	258
39	10	258
40	11	258
41	11	258
42	11	258
43	11	258
44	12	257
45	12	257
46	12	257
47	12	257
48	13	257
49	13	257
50	13	256
51	14	256
52	14	256
53	14	256
54	14	256
55	15	256
56	15	255
57	15	255
58	15	255
59	16	254
60	16	254
61	16	254
62	17	254
63	17	253
64	17	253
65	17	253
66	18	253
67	18	253
68	18	253
69	19	252
70	19	252
71	19	252
72	19	252
73	20	252
74	20	252
75	20	252
76	21	251
77	21	250
78	21	250
79	21	250
80	22	250
81	22	250
82	22	249
83	22	249
84	23	249
85	23	249
86	23	248
87	23	248
88	24	248
89	24	248
90	24	248
91	25	248
92	25	247
93	25	247
94	25	247
95	26	247
96	26	247
97	26	246
98	27	246
99	27	246
100	27	246
101	27	245
102	28	245
103	28	245
104	28	245
105	28	243
106	29	243
107	29	243
108	29	243
109	30	242
110	30	242
111	30	242
112	30	242
113	31	241
114	31	241
115	31	241
116	31	241
117	32	241
118	32	240
119	32	240
120	33	240
121	33	240
122	33	240
123	33	239
124	34	239
125	34	239
126	34	239
127	35	238
128	35	238
129	35	238
130	35	238
131	36	238
132	36	237
133	36	237
134	37	237
135	37	237
136	37	237
137	37	236
138	38	236
139	38	236
140	38	236
141	39	235
142	39	235
143	39	235
144	39	235
145	40	234
146	40	234
147	40	234
148	40	233
149	41	233
150	41	233
151	41	233
152	42	232
153	42	232
154	42	232
155	42	232
156	43	231
157	43	231
158	43	231
159	44	231
160	44	230
161	44	230
162	44	230
163	45	229
164	45	229
165	45	229
166	45	229
167	46	228
168	46	228
169	46	228
170	46	227
171	47	227
172	47	227
173	47	226
174	48	226
175	48	226
176	48	226
177	48	225
178	49	225
179	49	225
180	49	225
181	50	224
182	50	224
183	50	224
184	50	224
185	51	223
186	51	223
187	51	223
188	51	223
189	52	222
190	52	222
191	52	222
192	53	222
193	53	221
194	53	221
195	53	221
196	54	221
197	54	220
198	54	220
199	55	220
200	55	220
201	55	219
202	55	219
203	56	219
204	56	219
205	56	218
206	57	218
207	57	218
208	57	218
209	57	217
210	58	217
211	58	217
212	58	216
213	58	216
214	59	216
215	59	216
216	59	215
217	60	215
218	60	215
219	60	215
220	60	214
221	61	214
222	61	214
223	61	214
224	62	213
225	62	214
226	62	214
227	63	213
228	63	213
229	63	213
230	63	213
231	64	212
232	64	212
233	64	212
234	65	212
235	65	211
236	65	211
237	65	211
238	66	210
239	66	210
240	66	210
241	67	210
242	67	209
243	67	209
244	67	209
245	68	209
246	68	208
247	68	208
248	69	208
249	69	207
250	69	207
251	69	207
252	70	207
253	70	206
254	70	206
255	70	206
256	71	206
257	71	205
258	71	205
259	72	205
260	72	204
261	72	204
262	72	204
263	73	204
264	73	203
265	73	203
266	74	203
267	74	203
268	74	202
269	74	202
270	75	202
271	75	201
272	75	201
273	75	201
274	76	201
275	76	200
276	76	200
277	77	200
278	77	199
279	77	199
280	77	199
281	78	199
282	78	198
283	78	198
284	79	198
285	79	197
286	79	197
287	79	197
288	80	197
289	80	196
290	80	196
291	80	196
292	81	196
293	81	195
294	81	195
295	82	195
296	82	195
297	82	194
298	82	194
299	83	194
300	83	193
301	83	193
302	84	193
